SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","64","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2069.9000000000000000","11.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","66","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2070.1000000000000000","11.7000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","65","<=5%","<=5%","<=5%","*","N/A","N/A","N/A","<=5%",">=95%","2064.6000000000000000","11.8000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Economically Disadvantaged","<3","<3","*","*","N/A","N/A","N/A","<3","*","62","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2069.8000000000000000","11.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students Without Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","57","<=10%","<=10%","<=10%",">=90%","N/A","N/A","N/A","<=10%",">=90%","2064.6000000000000000","11.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","*","*","N/A","N/A","N/A","<3","*","64","<=5%","<=5%","<=5%","*","N/A","N/A","N/A","<=5%",">=95%","2064.7000000000000000","11.9000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","37","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2071.9000000000000000","13.2000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Female","<3","<3","*","*","N/A","N/A","N/A","<3","*","29","<=20%","<=20%","*","*","N/A","N/A","N/A","<=20%",">=80%","2067.8000000000000000","9.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Male","<3","<3","*","*","N/A","N/A","N/A","<3","*","36","<=10%","<=10%","<=10%","*","N/A","N/A","N/A","<=10%",">=90%","2067.1000000000000000","13.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Female","<3","<3","<3","*","N/A","N/A","N/A","<3","*","29","<=20%","<=20%","<=20%",">=80%","N/A","N/A","N/A","<=20%",">=80%","2061.6000000000000000","7.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","61","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2064.0000000000000000","11.5000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","*","*","N/A","N/A","N/A","<3","*","63","<=5%","<=5%","<=5%","*","N/A","N/A","N/A","<=5%",">=95%","2064.6000000000000000","12.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Hispanic of Any Race","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Two or More Races","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Northwestern High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","58","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2070.4000000000000000","12.3000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Students With Disabilities","<3","<3","<3","*","N/A","N/A","N/A","<3","*","11","<=50%","<=50%","<=50%",">=50%","N/A","N/A","N/A","<=50%",">=50%","2057.7000000000000000","6.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not Economically Disadvantaged","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Black or African American","<3","<3","<3","*","N/A","N/A","N/A","<3","*","70","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2062.3000000000000000","15.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Asian","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","All Students","<3","<3","<3","*","N/A","N/A","N/A","<3","*","71","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2062.2000000000000000","15.5000000000000000","N/A","*","*","*","*","*"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","Students Without Disabilities","<3","<3","*","*","N/A","N/A","N/A","<3","*","58","<=10%","<=10%","*","*","N/A","N/A","N/A","<=10%",">=90%","2072.9000000000000000","14.8000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","English Learners","*","*","*","*","N/A","N/A","N/A","*","*","<10","*","*","*","*","N/A","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Not English Learners","<3","<3","<3","*","N/A","N/A","N/A","<3","*","70","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2062.3000000000000000","15.6000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Science","Economically Disadvantaged","<3","<3","<3","*","N/A","N/A","N/A","<3","*","65","<=5%","<=5%","<=5%",">=95%","N/A","N/A","N/A","<=5%",">=95%","2061.6000000000000000","15.0000000000000000","N/A","N/A","N/A","N/A","N/A","N/A"
"22 - 23 School Year","M-STEP","N/A","82","Wayne RESA","82015","Detroit Public Schools Community District","03015","Pershing High School","82","Wayne","LEA School","High School","City: Large","Wayne Region","         3","11","Social Studies","All Students","<3","<3","*","*","N/A","N/A","N/A","<3","*","68","<=5%","<=5%","*","*","N/A","N/A","N/A","<=5%",">=95%","2071.8000000000000000","14.8000000000000000","N/A","*","*","*","*","*"
